"09290: Svevestøv, organiske miljøgifter fra norsk økonomisk aktivitet, etter statistikkvariabel, næring, komponent og år",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,Svevestøv - PM10,5985,4936,4428,3491,3861,3160,2334,3065,2463,1557,1623,2033,2017,2268,2165,1952,1671,1697,1739,1639,1567,1570,1477,1274
,,"Svevestøv - PM2,5",5462,4352,3911,3102,3458,2732,1977,2661,2176,1368,1454,1859,1840,2068,1950,1745,1502,1526,1566,1461,1400,1413,1334,1153
,,PAH-4,9284,10494,12136,9054,11462,13060,8524,6396,7502,3497,2717,3502,2623,3441,3134,3204,2530,2675,3385,3634,1921,1599,1555,895
,,Dioksin,6902,7275,8434,7445,11337,3544,4155,4521,2744,2595,2865,2936,2235,4561,2404,3262,4340,2734,2695,3309,2504,2817,2776,2192
,"Produksjon av metallvarer, unntatt maskiner og utstyr",Svevestøv - TSP,7,7,7,6,6,8,7,7,4,3,4,3,4,4,2,2,2,2,2,2,2,2,1,22
,,Svevestøv - PM10,5,6,6,4,5,7,6,6,3,2,3,2,3,3,2,2,2,2,1,2,2,2,1,21
,,"Svevestøv - PM2,5",4,4,5,3,4,6,5,5,3,2,2,2,3,3,1,2,2,2,1,2,2,1,1,21
,,PAH-4,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2
,,Dioksin,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9
,Produksjon av datamaskiner og elektroniske produkter,Svevestøv - TSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Svevestøv - PM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Svevestøv - PM2,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dioksin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Produksjon av elektrisk utstyr,Svevestøv - TSP,5,12,6,12,4,6,6,3,5,2,2,4,4,2,3,2,2,2,2,1,0,1,0,0
,,Svevestøv - PM10,3,5,3,4,2,4,3,2,2,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0
,,"Svevestøv - PM2,5",1,2,2,1,1,3,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
